canton,loyer_moyen_m2,densite_population,taux_logements_vacants,nombre_logements_total,taux_chomage,taux_logements_proprietaire
AG,0.07801588760283415,-0.014238127360266088,0.28132311750510147,0.8725744679790634,-0.13363365557795848,0.6692221827976447
AI,-0.17553574710637757,-0.4174019441930625,0.5726724257808254,-0.9531854159868032,,1.0938725541097922
AR,-1.1052250743734875,-0.2895398136222523,-0.025360364890397117,-0.8365385567583988,-0.7765821076326632,0.8216607776276462
BE,-0.13327714132150908,-0.3364694307768134,0.17398389866667718,2.1972409666171098,-0.6288359317168012,-0.14741314664879313
BL,0.7541535801607331,0.0370003967585861,-0.4547172402440951,-0.19100990836720744,-0.2542366062467479,0.45145276161192793
BS,1.3457740611488935,4.597041699555371,-0.22470462844747108,-0.3732320309062628,1.0812927480385994,-2.5537652507509634
FR,-0.21779435289124607,-0.30433997232568677,0.2506547692655516,-0.09549834527299267,0.3842702785990662,0.25546028254478315
GE,2.0219117537067923,1.515049157400941,-1.2214259462328418,0.353342101365346,3.18913405299959,-2.2815534742688173
GL,-0.978449257018882,-0.4499997620968295,0.05131050570847761,-0.8712109671086178,-0.8182617791624798,0.8652146618647895
GR,0.07801588760283415,-0.48109882975214746,-0.9760791603164429,-0.0009050076968029065,-1.0387730100657735,0.4950066458490711
JU,-1.6545869495767802,-0.4246146797637236,2.9954719367052642,-0.7746415652597193,0.7631904103936331,1.2245342068212226
LU,0.16253309917257114,-0.22125300542729215,-0.3933805437649955,0.1486744661634572,-0.5415563465326072,-0.5720635179609406
NE,-1.147483680158356,-0.27370926412300917,0.9713609528949737,-0.4609306224874578,1.1053152710706609,-1.029379302450946
NW,0.0357572818179664,-0.3322541957030504,-0.6080589814418446,-0.8746153821871433,-0.9960673665512813,-0.12563620453022115
OW,-0.4290873818155893,-0.4309843683196321,-1.2060917721130668,-0.8763336989460204,-1.322286376783986,0.4187873484340707
SG,-0.4290873818155893,-0.24897988502359966,0.31199146574465136,0.4788007037228674,-0.36359550689523495,-0.07119384923379195
SH,-0.5981218049550641,-0.22968347557481808,-0.22470462844747108,-0.7520188511811267,-0.32320207121113154,0.2336833404262112
SO,-0.5981218049550641,-0.1648625273293963,1.7994063553628201,-0.21251571655252985,-0.13025308375842445,0.6909991249162166
SZ,0.7541535801607331,-0.3224186471976035,-1.0987525532746423,-0.546991443407848,-0.6374363466838808,-0.005863022878077549
TG,-0.6403804107399325,-0.18322221787289728,0.3579939881039762,-0.20962679650166757,-0.22322167504432971,0.5712259432640723
TI,-0.7248976223096695,-0.38545982952299196,1.4620545247277712,0.38378315669682983,1.459071466102456,-0.12563620453022115
UR,-1.0629664685886189,-0.4743544536341267,-0.8840741155977933,-0.8806778185020568,-0.9276652644081205,0.8107723065683603
VD,1.1767396380094195,-0.22453152159577444,-0.3627121955254456,1.3823077647601127,1.4521455045880394,-1.01849083139166
VS,-0.47134598760045776,-0.44156929194930356,0.7260141669785746,0.4915001385189442,-0.10856740100785388,1.5511883385997975
ZG,1.979653147921923,0.09648204724390806,-1.2214259462328418,-0.6642558227214738,-0.14418878851610756,-0.8442752944430866
ZH,1.979653147921923,0.40541194220547,-1.0527500309153175,3.2659641840203975,-0.06605641399666902,-1.377810376348093
